date,AAPL,DOW,INTC,NKE,SBUX,YHOO
06-06,626778724.4,117822372.2,1859436426,166034719.7,118764408.8,321832205
06-07,821273353.9,112198266.7,1488940789,187363040.3,344646234.2,494257975
06-08,680814905.2,170633899.5,1199623432,191545797.7,242822360.7,690962793
06-09,438055752.6,377798137.3,1345369204,186830508.9,251215538.7,373986404
06-10,583271392.8,257159642,1395256218,146913569.7,212882152.2,386490889
06-11,322218604.1,209749295.3,1080703006,149967222.4,136660503.4,489253701
06-12,270501510.1,188617115.8,694137360.1,153778680.9,156319641.5,250505329
06-13,219615426.8,104218427.2,723848930.4,70667825,85772116.22,263290701
06-98,133488230.8,72651029.35,1735132210,76716934.92,178976000.4,1553972800
06-99,233686256.6,81620518.15,1095256227,107530670.7,139225131.2,808386000
07-00,196645550.6,80759266.78,988386389.2,66008431.09,159881527.3,370825400
07-01,294992188.2,65399492.34,1123841973,112468005.4,179424482,330073600
07-02,270736557.1,113084920.2,1799972346,190379260.9,232117416.7,584082200
07-03,173852749.8,115661984.7,1692749762,117751315.5,160302267.6,574348140
07-04,321659053.2,65350632.47,2001695580,108041016.3,151353742.8,486471905
07-05,344372024.1,89821249.7,1229372962,126797627.8,131145401.8,401987180
07-06,606770739.4,140808039.4,1435921472,163965715.4,148886326.1,562693344
07-07,821697382.6,137403880.3,1614589599,150306831,323154368.1,512496107
07-08,677084443.9,241954314.4,1470748895,200289639.2,335939014.8,571921608
07-09,374790767.5,340277303.1,1737650511,144752664,331615256.2,662546900
07-10,543347318.3,224231012.9,1665511182,130772167.9,193987720.8,448971003
07-11,369629658.9,185081292.9,952906779.5,97611446.28,136340254.9,482604029
07-12,302143897.3,175052671.3,731968381.7,132323115.4,156989272.9,280388884
07-13,209149289.8,94971494,697613492.7,60212170,98235579.04,424770104
07-98,367739981,61316398.46,1931548806,124900307.6,293752780.3,2078776000
07-99,399651241.6,80987777.19,1218179667,130570812.3,608336980.5,779963600
08-00,191626116.1,110185561.6,824221977.8,107377298.8,187954018.2,291776400
08-01,173677419,67560813.43,1117331647,103786399.5,161896634.8,302297000
08-02,173824672.8,81070907.73,1419497506,222996017,153972244.5,444082400
08-03,143018395,81887943.25,1369828188,98778813,92478113.88,343673300
08-04,272552657.5,81682571.22,1532725857,87882949.77,158210377.8,388601827
08-05,324995794.4,101936923.2,1167754013,187628149.8,102841986.9,307911821
08-06,627474282,111996063.3,1512125071,226120750.6,250112148.2,275572862
08-07,851811805.3,147968863.1,1705043721,161753724.5,259242814.3,422513413
08-08,457481377.6,139048364.7,1146088609,118290770.1,256708662.2,257430981
08-09,281899840.3,302260752.2,1174207010,128588086.3,246372715.3,515853861
08-10,333992094.9,292806368.3,1813284036,106651776.4,160047090.7,257908254
08-11,560598644.2,319741691.4,1535044480,163523946.2,220739370.1,688809502
08-12,282717504.3,146988824,726168052.2,98415026.85,200979463.8,362098313
08-13,62652617.91,49515304,189648601.3,22438995,25544931.42,69931627
08-98,461251709.6,77194559.39,2153629113,121930934,324313062,749936000
08-99,319900022.9,142887946.3,1334257326,93291366.99,244478432.4,805268400
09-00,451594632.5,112828310.7,1724424874,130182808,102610744.2,378035200
09-01,183654495.5,73500515.61,1240623150,136541261.4,160240655.7,311696600
09-02,173808418.6,78330297.44,1455584191,150278696,129999283.2,328180000
09-03,181258459.8,86881842.98,1376331728,140936653.7,144778615.5,532387788
09-04,258113824.7,88506810.05,1873152231,119372685.6,96986674.24,355733121
09-05,418160855.3,125462944.3,1248917382,253735442.7,128193823.6,291708222
09-06,630392374,97760394.11,1632182714,234202112.2,148635531.6,478966103
09-07,733969354.5,98221990.04,1342509159,134139304.9,183402299.1,386718669
09-08,847815771.8,227653295.2,1773627329,216205284.3,270151961.1,430827769
09-09,347282096.4,316482391.3,1128631341,175550748.7,247914525.6,632343777
09-10,413430400.7,166125543.2,1393788678,131938448.8,142989297.6,457041518
09-11,415888762.6,258796443.7,1311874191,152024202,166058003.7,738075776
09-12,311017554.6,169301387.6,884233146.4,114159738.7,127648769.6,338406917
09-98,276391730.7,105691432.8,1781579006,128984817.7,337633671.5,1438154400
09-99,657685364.6,88356244.51,1274556279,126780624.8,205494466.4,642926800
10-00,735792618.2,130067402.2,1802107514,90789386.06,152710259.4,670087601
10-01,258403808,81630503.9,1461310674,138200291,183512672.5,406339200
10-02,222010769.6,118101045.4,2224756983,167748961,207310582,750450522
10-03,231971449.7,96696405.71,1440798384,127758272.4,107538223.5,665587640
10-04,529598704.3,101995078.3,1825964769,107092934.2,139912186.9,414121168
10-05,639363154.1,110557784.4,1328893504,140479228,135196777.8,402531586
10-06,487709729.8,113633119.5,1796917724,133847826,177471458.8,739768425
10-07,795213811.3,154964347.5,1730117216,174758480.3,198668996.4,731610706
10-08,1445447026,380456361.9,2546748918,289627026.8,380309288.6,677505750
10-09,431651449.7,305000100.2,1792951663,143256875.9,208511055.2,484059779
10-10,408559354.5,201672019.4,1422059138,105693721.5,138265388.2,539024806
10-11,449153396.8,284502426.7,1376660897,108753654.3,144158062,656908012
10-12,414097518.6,172362823.4,978966032.7,91048522.85,198885246.4,426805221
10-98,437649445,94399290.77,1891793484,82132501.88,291587800.9,1571473600
10-99,506879924.7,92315177.75,1421564785,85739730.72,211575137.1,745442800
11-00,291535425.1,88206133.47,1161402278,77388690.02,237925300,478880600
11-01,180781423.5,69254302.56,1316648308,100134692.3,179092484.4,463926800
11-02,146805007.8,77137538.57,1503904586,133349424.7,144614999.5,434776096
11-03,168479172.9,57585504.6,1079531450,128788525.6,103459195.8,405152852
11-04,598570831.1,100615548.6,1717296589,118898511.7,117141084.2,322124813
11-05,467963040.9,100957467.6,1317222127,113433759.4,111855243.7,426572747
11-06,486136243,113304478,1362451714,106664177.8,158722725.1,438474451
11-07,924204629.3,135158936,1518423113,115689733.9,400376378,669410181
11-08,836143590.5,291293911.9,1641346374,188060171.9,318832426.5,525091569
11-09,288168868.6,217276653.5,1261409388,86501169,214402086,326242238
11-10,328063849.3,144433997.2,1144527365,88880488.07,156329180.7,369790569
11-11,310855628.2,198326633.8,1114471110,92588850.22,137790153.6,431464214
11-12,440322928.4,144675982.4,1052685214,84326882.6,156891935.6,525443846
11-98,349377565.4,48885323.66,1552340687,100764244.1,228328414.8,1399041600
11-99,299849645.6,92651016.25,1024911427,136705507.8,200425500,417177200
12-00,296751221.2,108962374.2,1416253227,138568964.9,159749395.4,696871000
12-01,153874230.1,82063993.29,964124204.9,171586903.7,129525750.8,443296800
12-02,149488817.2,81016072.74,1365421739,146158841.5,127292674.9,288438424
12-03,176837095.3,79553527.54,1267654078,142090543.7,92866994.77,366430844
12-04,550314479.6,89317839,1756451644,105452727.5,121307557.8,255606822
12-05,449941753.2,103982485.7,1202352587,183020180.1,84612807.66,268429594
12-06,592868697.1,114614325.7,1054081144,122128825.3,103952036.1,391226853
12-07,603804633.3,121455728.9,1037904585,110855042.4,225974852.7,372357325
12-08,701269185.3,420464893.6,1412307275,180250554.8,216023806.9,345101025
12-09,385882333.7,178100519.4,1076941938,101491882.4,195487885.1,357999160
12-10,235193249.1,136472555.6,933631971.9,96191401.33,113194061.9,240496830
12-11,214727666,162000599.6,948147553.9,102087693.1,97791292.99,400421071
12-12,411403693.3,131671206.6,753463049.1,80464957.33,144822196.7,378315099
12-98,435997690.2,75686236.46,1427522408,135465656.4,163949429.7,1061175200
12-99,324682073.9,120421079,996371869.1,136546973.8,168986410.4,863126000
